titulo,idioma,subtitulos,ano,duracion_minutos,categorias,sinopsis,tipo,link
Keteke (Expecting Delays),English,English,2017,70 min,"Comedy, Drama, Romance","It's the 80s rail service system, and the train is the only means of transport from the outskirts. A couple BOI (Adjetey Anang) and ATSWEI (Lydia Forson) is bent on delivering their first baby in Akete but misses their first train. A wrong decision finds them in the middle of nowhere. Will they make it on time for the delivery, or, risk losing the baby and mother?",Pelicula,https://filmzie.com/content/keteke-expecting-delays-2017
The Letter Writer,English,None,2011,85 min,"Drama, Family","When a teenager receives a mysterious letter in the mail, she sets out to find the author. It's a journey that will change her life forever.",Pelicula,https://filmzie.com/content/the-letter-writer-2011
Slaughter Nick for President,English,None,2012,72 min,"Documentary, Biography, Comedy","When an out-of-work actor accidentally discovers through Facebook that he's been wildly famous in a faraway land for almost two decades, he sets out to discover the reasons why.",Pelicula,https://filmzie.com/content/slaughter-nick-for-president-2012
Against the Night,English,English,2017,85 min,"Horror, Mystery, Thriller","Friends enter abandoned prison for ghost hunting video, but disappear one by one.",Pelicula,https://filmzie.com/content/against-the-night-2017
Jean,English,English,2016,73 min,"Adventure, Drama","Join a brave girl and her loyal dog on a daring wilderness adventure, where they unravel the essence of nature, sacrifice, and life's true meaning.",Pelicula,https://filmzie.com/content/jean-2016
The Grave,English,English,2020,131 min,Drama,"The Grave is a story of a gravedigger who has been digging graves for more than thirty years. His ancestors believed that if anyone could dig 100 graves, they would go to heaven. But...",Pelicula,https://filmzie.com/content/the-grave-2020
At the End of the Day,English,English,2018,108 min,"Comedy, Drama",A conservative professor from a Christian college joins a gay support group to thwart their plans for an LGBT homeless youth shelter in their small town.,Pelicula,https://filmzie.com/content/at-the-end-of-the-day-2018
The Team,Turkish,English,2015,102 min,"Comedy, Drama, Romance",A misfit street soccer team unites to save their neighborhood from Turkish construction giants. Join their journey as they strive to win a tournament and secure their community's future.,Pelicula,https://filmzie.com/content/the-team-2015
We Live in Public,English,English,2009,88 min,Documentary,Delve into the captivating life of dot-com entrepreneur Josh Harris. This documentary explores his thrilling exploits of the past decade.,Pelicula,https://filmzie.com/content/we-live-in-public-2009
Murder Game,English,English,2006,85 min,"Horror, Mystery, Thriller","Teenagers create a thrilling game where one is a secret ""killer"" and the rest are victims. Armed with prop weapons, they play in a self-storage warehouse after hours. Suspense and excitement await.",Pelicula,https://filmzie.com/content/murder-game-2006
Dhogs,Spanish,"English, Spanish",2017,85 min,"Comedy, Crime, Drama","The intimacy of a hotel room. The immensity of a desert. A desolate gas station. In these picturesque settings, hideous crimes occur under the cold stare of unexpected protagonists that show the dark, twisted and perverse sides of human existence.",Pelicula,https://filmzie.com/content/dhogs-2017
Damaged Goods,English,English,1961,75 min,Drama,"When venereal disease and a captivating new girl derail a track star's wedding, his coach and a doctor help guide him back to brighter days.",Pelicula,https://filmzie.com/content/damaged-goods-1961
The Day of the Dead,Spanish,"English, Spanish, Portuguese",2007,101 min,"Horror, Thriller","Based on true facts, a gang of suburban kids is sport-killing home-less people just for fun in the streets of Chicago. One day, they decide to try a new excitement, by murdering a young Mexican working girl, assuming there would be no consequences since she was illegal. They were wrong.",Pelicula,https://filmzie.com/content/the-day-of-the-dead-2007
Duality Derby,English,None,2020,20 min,"Comedy, Short",Local racing legend Victor Elaine squares-off against his greatest rival. Their opposing philosophies and impending destruction leave them wondering: Who is really behind the wheel?,Pelicula,https://filmzie.com/content/duality-derby-2020
7 Days Without Social Media,Spanish,"English, Portuguese",2021,111 min,Comedy,"Miguel, Juan, and Rafael will go through various adventures just to get more followers on the Instagram social network, getting into many problems which will lead them to live many adventures but also potential dangers with mafia bosses and hiding great secrets.",Pelicula,https://filmzie.com/content/7-days-without-social-media-2021
Just Say Goodbye,English,English,2017,106 min,Drama,"After enduring years of abuse from his alcoholic father and an unrelenting school bully, Jesse Peterson confesses his plan to commit suicide to his best friend, Sarah Moran. Feeling forced to keep silent about Jesse's intentions, Sarah embarks on the greatest trial of her life--to save her friend from his greatest enemy, himself.",Pelicula,https://filmzie.com/content/just-say-goodbye-2017
I Want to Live,Lithuanian,English,2018,110 min,"Drama, Romance","""I don't want to stay alive; I want to live...""",Pelicula,https://filmzie.com/content/i-want-to-live-2018
Le Petomane: Parti avec le vent,English,"English, Spanish, French",2005,33 min,"Comedy, Romance, Crime, Short","Based on a true story set around turn-of-the-century France, it follows the lives of two men: Joseph Pujol and Dr. Marcel Baudouin. Pujol was an entertainer at the Moulin Rouge who was gifted with a unique backside, which could take in and release air in measured increments thus producing amazing and humorous noises. Dr. Baudouin was obsessed with Joseph's ""instrument"" and pursued him doggedly for many years, ultimately resulting in his undoing.",Pelicula,https://filmzie.com/content/le-petomane-parti-avec-le-vent-2005
The Dollmaker,English,English,2017,10 min,"Short, Horror, Mystery","Rick and Jenna, grieving the loss of their child, seek solace from The Dollmaker. But as their desires come true, they find themselves trapped in an unsettling game of consequences.",Pelicula,https://filmzie.com/content/the-dollmaker-2017
His Dying Wish,English,None,2016,61 min,Drama,When a wife loses her husband and is forced to take in his younger mistress she finds herself at a crossroad of doing what her husband wanted or being true to herself.,Pelicula,https://filmzie.com/content/his-dying-wish-2016
Say Yes,English,English,2018,94 min,Drama,"When Lily is diagnosed with cancer, her beloved twin brother, Caden, moves in to help and ends up forming a strong bond with Lily's husband, Beau. Lily makes the two men in her life promise to find happiness as a couple after she's gone. But can a straight guy really fall in love with another man?",Pelicula,https://filmzie.com/content/say-yes-2018
The Desperate Dead,Spanish,English,2017,95 min,"Action, Adventure, Thriller","Inhaling a hallucinogenic drug, our anti-hero Paul becomes obsessed with a woman who appears to be an exact double of his ex-wife. But he soon finds himself embroiled in a criminal conspiracy.",Pelicula,https://filmzie.com/content/the-desperate-dead-2017
The Teacher's Job,Spanish,"English, Spanish, Portuguese",2022,82 min,Comedy,"
It’s a simple plan. Take the young heiress. No ad-lib. Follow the rules. We’re school teachers, following the rules should not be a problem, but then life happens and plans tend to go south if we don’t kick back. Not even the Mastermind of this operation",Pelicula,https://filmzie.com/content/the-teachers-job-2022
UFO Events: The Best of Third Phase,English,Subtitles,2020,0 min,Documentary,Watch our Special reports on UFO related historical events as we get expert analysis and really dissect the possible truth behind event that have happened in the past. We also cover weekly news events relevant to the UFO phenomena and bring you new stories as they unfold around the world.,Serie,https://filmzie.com/content/ufo-events-the-best-of-third-phase-2020
Holiday Engagement,English,None,2011,88 min,"Comedy, Romance","Afraid to tell her family she's been dumped, Hillary hires an actor to play her fiancé during a four-day Thanksgiving weekend at her parents' house.",Pelicula,https://filmzie.com/content/holiday-engagement-2011
Space Rocks,English,English,2020,2 min,Documentary,Join Morgan Space Dude as he introduces us to the importance of music throughout NASA's exploration of space.,Pelicula,https://filmzie.com/content/space-rocks-2020
Paddle to the Sea,English,None,1966,28 min,"Adventure, Documentary, Family, Short",Experience the thrilling escapades of a toy Native American canoe on its epic voyage from the Great Lakes to the Atlantic Ocean. Prepare for a remarkable adventure in this captivating film.,Pelicula,https://filmzie.com/content/paddle-to-the-sea
Create A Creature,English,None,2011,142 min,Horror,"Unlock your creativity with Create a Creature, the ultimate costume makeup tutorial by Trionic Entertainment. Learn 10 popular costume makeup demonstrations, from clowns to zombies. Become the life of the party!",Pelicula,https://filmzie.com/content/create-a-creature-2011
The Republic of Rick,English,English,2014,79 min,Comedy,Experience a satirical take on a true story as one man embarks on a quixotic journey for Texas independence in the late 1990s. A humorous and unconventional ride awaits.,Pelicula,https://filmzie.com/content/the-republic-of-rick
Watching This Movie Is a Crime,Persian,English,2019,88 min,"Drama, Thriller",Amir is a young member of Basidj and his father is a martyr of war. But when Amir's pregnant wife is being beaten by a stranger in the street and loses her child he decides to take action.,Pelicula,https://filmzie.com/content/watching-this-movie-is-a-crime-2019
Buried Alive,Spanish,English (embedded),2020,8 min,"Drama, Short","Lorena is locked in what appears to be a coffin, her feet are tied with a belt and she has little room to move. Fear seizes her, but she manages to calm down and after several struggles cuts loose. Now, in a battle between desperation, fear, anxiety and courage, she fights the box with all her strength, until she defeats it. Lorena is unconfined now, she is in many ways, free.",Pelicula,https://filmzie.com/content/buried-alive-2020
Trevor,English,"English, Spanish, French, Portuguese",2023,68 min,"Comedy, Drama","Trevor, an Englishman living in the Spanish countryside, is visited by his daughter, who brings disturbing news that will change Trevor's life forever.",Pelicula,https://filmzie.com/content/trevor-2023
Night Horse,English,None,2020,44 min,"Short, Mystery","Paul, led by a sailor, explores Kayaköy, an ancient Turkish village. Intrigued yet rejected, he immerses himself in nature and introspection until encountering a talking horse, Pegasus, who joins him on a transformative quest.",Pelicula,https://filmzie.com/content/night-horse-2020
Peace Pox,English,English,2011,67 min,"History, War","Inspired by the Christmas Truce of 1914, soldiers declare a ceasefire and realize they're neighbors, mere pawns in a politician's war.",Pelicula,https://filmzie.com/content/peace-pox-2011
The Long Way Home,Spanish,English,2014,91 min,Drama,"Joel's world turns upside down when he discovers his wife's ailing dog, Elvis. Locked out of home, he embarks on a desperate journey to reclaim his shelter.",Pelicula,https://filmzie.com/content/the-long-way-home-2015
The Line,Slovak,English,2017,112 min,"Crime, Thriller","In this gripping criminal thriller set on the Ukrainian border, explore a world of traffickers and smugglers. Experience life on the edge of borders in this captivating feature film.",Pelicula,https://filmzie.com/content/the-line-2017
A Wing and a Prayer,English,English,2015,61 min,"Documentary, History","Narrated by William Baldwin, the untold true story of WWII aviators who carried out secret, illegal operations in 1948 to prevent a second Holocaust.",Pelicula,https://filmzie.com/content/a-wing-and-a-prayer-2015
Symbols of Resistance: A Tribute to the Martyrs of the Chican Movement,English,None,2017,72 min,Documentary,"Symbols of Resistance uncovers Chicano struggles, student activism, and police repression. Explore history's dynamic moment, identity, land, and community issues. Featuring Falcón, Martínez, and more.",Pelicula,https://filmzie.com/content/symbols-of-resistance-a-tribute-to-the-martyrs-of-the-chican-movement-2017
Collectors,English,None,2013,5 min,"Short, Animation, Comedy, European Production","Unveiling the captivating world of collecting, ""Collectors"" takes you on a delightful and humorous exploration of passions for antiques, insects, adventures, and friendships. Discover where this insatiable pursuit can lead.",Pelicula,https://filmzie.com/content/collectors
Shakespeare's Diaries,English,None,2016,82 min,Comedy,"A discovery is made of the Bard's long, lost diaries. A modern version.",Pelicula,https://filmzie.com/content/shakespeares-diaries-2016
Know Fear,English,English,2021,77 min,Horror,Donald Capel and his family unleash a perilous ritual from a demonic book after his wife's possession. Each family member must communicate with the demon in their own way.,Pelicula,https://filmzie.com/content/know-fear-2021
In the Starlight,English,English,2018,49 min,Adventure,"Experience Paul Zizka's captivating quest to capture the world's starriest skies in ""In the Starlight."" A mesmerizing journey of life, love, and cosmic exploration.",Pelicula,https://filmzie.com/content/in-the-starlight-2018
I've Just Had a Dream,Spanish,"German, English, Spanish, French, Italian, Portuguese",2014,7 min,"Drama, Short, European Production","In a world of two girls, two cultures, and two visions, a single dream unites. It is said that dreams are dreams, distinguished only by the dreamer.",Pelicula,https://filmzie.com/content/ive-just-had-a-dream
Lost in the Mountains,Spanish,"English, Portuguese",2018,96 min,Drama,"An environmental lawyer is successful in closing illicit mining in Los Farallones de Cali. He is attacked, and his wife dies; he resolves to take action with his friends to ensure the safety of his daughter and the water of his grandkids.",Pelicula,https://filmzie.com/content/lost-in-the-mountains-2018
Half Empty/Half Full,English,English,2018,77 min,"Comedy, Drama, Romance, European Production","Four friends reunite for a dramatic dinner, unleashing jealousy, lies, and revelations. Watch in real time as their lives intertwine.",Pelicula,https://filmzie.com/content/half-emptyhalf-full-2018
The Sea In Between,English,English,2013,82 min,"Documentary, Music",An audio-visual experience documenting what happens when Josh Garrels and Mason Jar Music go to an island to try to create something beautiful.,Pelicula,https://filmzie.com/content/the-sea-in-between-2013
Lydia,French,English (embedded),2015,10 min,"Drama, Short, European Production","Annie has just lost her great love, she rides without knowing where to go. She ends up parking at the side of a road and thinks about this lost romance. ",Pelicula,https://filmzie.com/content/lydia-2015
The Time Stand Still,German,None,2013,12 min,"Western, Short, European Production",Two female museum attendants are guarding paintings. Suddenly they hear a sound of an alarm! The thieves are fast and quickly disappear into the mountains. The singer performs a song. In the middle of the night they steal countless cows horns.,Pelicula,https://filmzie.com/content/the-time-stand-still-2013
Hank and Jolene,English,None,2021,79 min,Comedy,"When Hank, a likable recluse, meets a Madagascar hissing cockroach, an unconventional relationship blossoms - A love story 300 million years in the making.",Pelicula,https://filmzie.com/content/hank-and-jolene-2021
The Untold Story of Euro Disco,English,None,2017,52 min,"Documentary, Music, European Production","Experience the rise of Euro disco in ""Eternal Beats."" Stream for free and discover the visionaries and artists who made this genre unforgettable, including Giorgio Moroder, Donna Summer, and ABBA.",Pelicula,https://filmzie.com/content/the-untold-story-of-euro-disco-2017
"Liars, Fires And Bears",English,None,2012,99 min,"Comedy, Drama","In Liars, Fires and Bears, 9-year-old Eve and immature Dave embark on a cross-country road trip. As Eve seeks her brother and Dave evades trouble, their journey becomes a lesson in unlikely connections.",Pelicula,https://filmzie.com/content/liars-fires-and-bears-2012
Margaret Fuller: Transatlantic Revolutionary,English,English,2023,39 min,"Documentary, Short",Delve into the captivating biography of a prominent female intellect from the 19th century. Explore her role in the Italian Revolution alongside influential figures Thoreau and Emerson.,Pelicula,https://filmzie.com/content/margaret-fuller-transatlantic-revolutionary-2023
The Brotherhood,Spanish,English,2016,86 min,"Drama, Horror, Mystery","After losing everything, Federico creates a new religious cult and, to achieve his goal, kidnaps Fernando, an old partner who he will try to inherit his project in the middle of a massacre.",Pelicula,https://filmzie.com/content/the-brotherhood-2016
Tomorrow Island,Russian,English,2018,16 min,"Thriller, Short, European Production","In the dawn of the Cold War, a young Soviet telegraphist makes a desperate attempt to save her American lover from being stranded in the Russian side of the Bering Strait after receiving a border closure message.",Pelicula,https://filmzie.com/content/tomorrow-island-2018
Quarantine Lover,English,None,2021,1 min,Short,"A man savors a COVID-proof virtual Valentine's date, but is their love genuine or just a facade? Find out in this captivating romance.",Pelicula,https://filmzie.com/content/quarantine-lover-2021
Regretting Fish,English,English,2011,82 min,"Crime, Drama, Thriller","Fisher Galloway, a criminal on the run, recruits his ex-fiancé Verity for assistance in his escape from a drug cartel. Trust becomes a luxury as the consequences of his theft catch up.",Pelicula,https://filmzie.com/content/regretting-fish
Saga,Norwegian,English,2016,88 min,"Comedy, Horror, European Production","A Black Metal music video director and his rocker and biker friends aspire to create a Viking feature, stumbling upon an ancient zombie tale in the Norse classic Eyrbyggja saga.",Pelicula,https://filmzie.com/content/saga-2016
Big Noise Dispatches 07,English,English,2011,34 min,"Documentary, Short","Crisis in counterinsurgency, US forces in Iraq, Latino recruitment, Afghan tribal strategy, FBI's role in homegrown terror cases. Watch COIN's Last Stand, Enduring Presence, Yo Soy El Army, Million Dollar Militia, and Entrapped.",Pelicula,https://filmzie.com/content/big-noise-dispatches-07-2011
Floating Islands,English,English,2019,21 min,"Short, Drama","Ava, a young counselor at a Christian camp on a Pacific coast island, meets two fugitives from El Salvador who are trying to cross the border into Canada. Over the course of a long day, she must decide whether to help them.",Pelicula,https://filmzie.com/content/floating-islands-2019
Sunshine Acid,German,English,2021,23 min,"Short, Drama","In the Serbian countryside, Leni persuades her friend Rea to take LSD, but their trip takes a disastrous turn due to their lack of precautions. Leni confronts the consequences of her imprudence with utmost difficulty.",Pelicula,https://filmzie.com/content/sunshine-acid-2021
Impossible Decision,English,None,2023,60 min,"Animation, Action, Adventure, Sci-Fi, Drama","Realizing there is no one to care for his autistic son after he’s gone, a dying father must decide whether or not to put his son’s life in the hands of a billionaire scientist specializing in artificial intelligence.",Pelicula,https://filmzie.com/content/impossible-decision-2023
The Penitent Man,English,English,2010,92 min,"Drama, Sci-Fi",The Penitent Man follows Dr. Jason Pyatt's transformative journey as a psychologist torn between his work and family. A mysterious client leads him on a mission to alter his future and the world.,Pelicula,https://filmzie.com/content/the-penitent-man
Favorite Son,English,English,2008,88 min,"Drama, Sport","At 30, David Paxton is seen as an aging minor-league baseball player. When his team moves back to near his childhood hometown, he finds he is still haunted by childhood secrets. Seemingly lost in his life, David is the last one the town elders want near the young, troubled, Ross Embry, 14. But, David might be the only one who can save Ross from an evil that's long been haunting the town.",Pelicula,https://filmzie.com/content/favorite-son-2008
At Prayer,Japanese,English,2010,26 min,Documentary,Experience the cinematic world of Kazuya Ashizawa in this captivating film.,Pelicula,https://filmzie.com/content/at-prayer-2010
Studio,Non linguistic content,None,2016,19 min,Short,"In an artist's studio, painted faces and figures come to life. The dance of the eye and hand entwines, merging painting and moving image into a harmonious unity.",Pelicula,https://filmzie.com/content/studio
Something is Burning,Spanish,English,2017,22 min,"Short, Drama","Haunted by memories and plagued by dark thoughts, Margot embarks on a journey to her childhood mountains, seeking her missing brother Adrien. In the winter cold, the specter of her lost sibling resurfaces.",Pelicula,https://filmzie.com/content/something-is-burning-2017
The Anthropophages,Spanish,"English, Portuguese",2019,89 min,Horror,"The arrival of some strange people to a distant population begins a series of macabre events, habitants and authorities of the place will do their best to make the guilty pay for his actions, without knowing, that could discover a terrifying truth.",Pelicula,https://filmzie.com/content/the-anthropophages-2019
April Fools Fright,English,English,2020,70 min,"Animation, Comedy, Family","Its the night before Halloween, and all the goblins and ghouls of Grimmsburgh are thrilled beyond belief...but, wait. Its really April the 1st - April Fools Day - and Selma the Wicked Witch has cast an evil spell on the land, convincing everyone in town that its time to trick-or-treat.",Pelicula,https://filmzie.com/content/april-fools-fright-2020
East West,Portuguese,"Modern Greek (1453-), English, Spanish",2020,86 min,"Action, Adventure, Drama","Ezequiel, a former pro racer, returns to his hometown for a final race. There, he reunites with Stela, confronts Angelo, and mentors Pedro, a young aspiring driver.",Pelicula,https://filmzie.com/content/east-west-2020
Lonely Boy,English,English,2013,124 min,"Comedy, Drama",A bachelor with schizophrenia navigates through romantic misadventures.,Pelicula,https://filmzie.com/content/lonely-boy
The Wait,Italian,English,2016,83 min,"Crime, Drama","A mafia killer accepts to take the identity of his last victim in order to redeem his past. Two games of chess - one with his victim, the other with his boss - will stress the turning points of this change. The killer meet his victim on a ship that carries back together in Sicily 40 years after their departure. Only one will arrive in Sicily, but he'll chose to change his life and complete the destiny of the other one.",Pelicula,https://filmzie.com/content/the-wait-2016
"Mursi, Beauty and Tradition",Spanish,English,2005,45 min,Documentary,The Mursi are an ethnic group in the south east of Ethiopia. They are of an animist tradition and still live primitively. Boncaulo is a Mursi who occasionally goes to the market in Jinka –a town two days walk away through forests.,Pelicula,https://filmzie.com/content/mursi-beauty-and-tradition-2005
Women of '69: Unboxed,English,English,2014,58 min,"Documentary, Biography, Family","Intimate, personalized portrait of women of the 1960s through the eyes of one colorful class that graduated in 1969 - same year as Hillary Clinton - and recently turned 65, starting to explore the New Old Age. At a time when these Boomers' parents were asking less of themselves, many of these distinguished citizens are asking more, feeling a Third Wind. Where will it take them? Some are determined to keep making waves. The trigger for these revelations/reminiscences is the class's yearbook. Each photo was a collaboration with a sexy Turkish artist, is full of the 60s spirit of risk, rebelliousness, creativity. Indeed, this yearbook wasn't a book at all. The portraits came to each alumna loose leaf, in a box. Hence our metaphoric title: Unboxed!",Pelicula,https://filmzie.com/content/women-of-69-unboxed-2014
The Last Earth Girl,English,English,2019,97 min,"Drama, European Production","Facing the impending apocalypse, a young woman reevaluates her priorities and sacrifices on the path to her dreams. A thought-provoking journey unfolds.",Pelicula,https://filmzie.com/content/the-last-earth-girl-2019
The Greatest Adventure: Book of Dragons,English,English,2018,244 min,"Animation, Adventure, Family","Embark on an extraordinary adventure with Finn and Haldor as they explore classic bedtime fairytale stories, including the incredible tale of ""The Book of Dragons.""",Pelicula,https://filmzie.com/content/the-greatest-adventure-book-of-dragons-2018
Heidi,English,English,2014,93 min,Horror,"When two high school friends uncover a mysterious attic doll, they become tormented by a relentless string of eerie and inexplicable occurrences.",Pelicula,https://filmzie.com/content/heidi
21-87,English,None,1964,9 min,"Documentary, Short","This collage film combines discarded and street footage from Montreal and New York City, exploring the debate on whether man is a complex machine or a soulful creature.",Pelicula,https://filmzie.com/content/21-87
Léo,French,English (embedded),2020,17 min,"Drama, Short","Leo, at thirty, feels misunderstood and rejected by others; he lives as a recluse at home. Become an escort boy to meet his needs, he leads a very organized life so as not to lose his footing. Nevertheless, one of his clients does not leave him indifferent. In this process, Leo must also face his best friend, determined to help her.",Pelicula,https://filmzie.com/content/leo-2020
Angels Descend Together,Persian,English,2014,80 min,"Drama, Romance","A couple, on the verge of becoming clergy, navigate the trials of raising triplets. Their journey unfolds with faith, love, growth, and laughter.",Pelicula,https://filmzie.com/content/angels-descend-together-2014
Dying for Everest,English,English,2007,52 min,Documentary,"In 2006, Mark Inglis, a double amputee, conquered Mt Everest. Celebrated for his achievement, controversy arose when he passed an incapacitated climber, David Sharp, who tragically perished in the Death Zone.",Pelicula,https://filmzie.com/content/dying-for-everest
The Pathan Project,French,"German, English, French, Italian",2019,42 min,"Documentary, European Production","An unexplored range in a remote valley of Pakistan, an unclimbed big wall, and a solid team of Belgian, French, and Argentinian climbers ready to combine exploration, music, and humor. Nicolas Favresse, Jean-Louis Wertz, Mathieu Maynadier, and Carlitos Molina embark on a new adventure full of surprises, French fries, and unexpected twists!",Pelicula,https://filmzie.com/content/the-pathan-project-2019
Beware the Lake,English,None,2017,83 min,"Drama, Horror, Thriller",There are secrets in the water.,Pelicula,https://filmzie.com/content/beware-the-lake-2017
I Am Still Here,English,English,2017,103 min,Drama,Exploring the serious issue of Human trafficking in our own country; especially the trafficking of children as young as five years. Giving an inside look at the devastation these children face on a daily basis.,Pelicula,https://filmzie.com/content/i-am-still-here-2017
Nevada,French,English (embedded),2020,21 min,"Drama, Short, European Production","A colorful, expertly-crafted short film from writer-director Thibault Lévêque, Nevada tells the story of an unreliable man, in great emotional distress, who calls on two of his friends to join him in a run-down motel in the United States. Once there, his true motivations are unveiled and their friendship is tested.",Pelicula,https://filmzie.com/content/nevada-2020
Young Medicine: Live in KC,English,English,2021,19 min,Music,"Experience the electrifying blend of synthwave-metal as Young Medicine takes the stage in Live In KC. Watch their up-close live performance of popular tracks like ""Living Fiction,"" ""Not Human,"" and ""Winter Soldier.""",Pelicula,https://filmzie.com/content/young-medicine-live-in-kc-2021
Esperanza,English,None,2016,15 min,"Short, European Production","This short documentary delves into life aboard Greenpeace's Esperanza ship, as its crew embarks on an Arctic journey. Explore their motivations and the risks they take to protect our planet, far from home.",Pelicula,https://filmzie.com/content/esperanza
In an Instant,Spanish,"English, Portuguese",2021,122 min,Drama,"In the Martinez family, everything was perfect until tragedy knocked on the door without warning with a serious accident.",Pelicula,https://filmzie.com/content/in-an-instant-2021
Endgame 2050,English,English,2020,92 min,Documentary,"Humanity has backed itself into an ecological endgame as we approach the year 2050. Featuring Moby and prominent scientists, ENDGAME 2050 lays out the reality that, unless we act urgently now, we are hastening our own destruction.",Pelicula,https://filmzie.com/content/endgame-2050-2020
One Third,Russian,English (embedded),2018,25 min,"Drama, Short","The story is based on real events taking place in a seaside city on the Russian-Chinese border portraying a relationship between a mother, a daughter and her girlfriend.",Pelicula,https://filmzie.com/content/one-third-2018
Paul,English,None,2015,15 min,"Documentary, Short, Sport","Inspiring doc: Paul, a 13yo from Dunoon, South Africa, dreams of surfing. No transport or funds, but a non-profit helps him. Follow his week-long journey. Narrated by surf legend Robby Naish. Life-changing.",Pelicula,https://filmzie.com/content/paul
Locas y Atrapadas,Spanish,English,2014,89 min,"Comedy, Drama","Trapped in an elevator, five women share their bitter life experiences, shaped by the cruelty of men and society. Prepare for impactful revelations.",Pelicula,https://filmzie.com/content/locas-y-atrapadas-2014
Train Town: Adventures With Machines,English,English,2019,60 min,Animation,"Discover Train Town, where laughter and learning abound! Meet Toot-Skoot, the knowledgeable train, as we embark on an exciting journey of fun and facts. Let's go and explore the wonders of knowledge together.",Pelicula,https://filmzie.com/content/train-town-adventures-with-machines-2019
The Soft Rumor of Tumultuous Seas,Spanish,English (embedded),2008,18 min,"Short, Romance","Lola embraces the thrill of life, cherishing fleeting moments and chasing opportunities. Amidst nights filled with music, alcohol, and nostalgic melodies, she seeks love and connection.",Pelicula,https://filmzie.com/content/the-soft-rumor-of-tumultuous-seas
Trouble Is My Business,English,English,2018,115 min,"Action, Adventure, Crime",Detective Roland Drake falls for two sisters from the Montemar family. One woman is dead and the other wants to kill him.,Pelicula,https://filmzie.com/content/trouble-is-my-business-2018-0
Monsters in the Woods,English,English,2012,79 min,Horror,Micro-budget film crew ventures into wilderness for horror scenes. Unforeseen terror unfolds as they become hunted by creatures. Suspenseful thrill ride.,Pelicula,https://filmzie.com/content/monsters-in-the-woods-2012
Street Musique,Non linguistic content,None,1972,8 min,"Animation, Short, Music","In Ryan Larkin's last animated short, live-action footage of street musicians blends with synchronized animation, capturing the essence of Montreal's vibrant music scene.",Pelicula,https://filmzie.com/content/street-musique
Mad Cowgirl,English,English,2006,89 min,"Drama, Horror, Romance","Dying of a brain disorder, a woman embarks on a surreal and violent journey of self-discovery and transformation.",Pelicula,https://filmzie.com/content/mad-cowgirl-2006
Not Since You,English,English,2009,87 min,"Drama, Romance",A romantic drama about a tight-knit group of college friends who graduated from NYU and reunite years later for a weekend wedding in Georgia.,Pelicula,https://filmzie.com/content/not-since-you-2009
The Conscientious Objector,English,English,2004,101 min,"Documentary, War","Witness the remarkable true story of Desmond Doss, a conscientious objector, and US Army medic who defied the odds to receive the Medal of Honor.",Pelicula,https://filmzie.com/content/the-conscientious-objector-2004
Pep Squad,English,English,1998,92 min,"Comedy, Crime, Horror","Cherry desires the crown of prom queen, but faces obstacles: no nomination and being different. She'll go to extreme lengths, even resorting to murder, to achieve her goal.",Pelicula,https://filmzie.com/content/pep-squad-1998
Solitary,English,English,2009,91 min,"Drama, Mystery","Enter the world of an agoraphobic woman, trapped in her home and haunted by suspicions of a conspiracy between her husband and psychiatrist.",Pelicula,https://filmzie.com/content/solitary-2009
The Bridge,Bulgarian,English,2018,40 min,"Short, Drama, Thriller",A young girl's world shatters overnight in London when her sister vanishes. How does one endure when dreams turn to nightmares? What preserves or breaks sanity?,Pelicula,https://filmzie.com/content/the-bridge-2018
Broken People,English,English,2023,95 min,Drama,"Brett and Jake meet in a bar and decide to drown their sorrows in whiskey, forgetting the past, ignoring the future, and exploring life, love, and tragedy together for one fateful night.",Pelicula,https://filmzie.com/content/broken-people-2023
Hellitosis: The Legend of Stankmouth,English,"English, French",2020,74 min,"Horror, Thriller",Five people are unexpectedly brought together to encounter a unique monster.,Pelicula,https://filmzie.com/content/hellitosis-the-legend-of-stankmouth-2020
My Culture,English,English,2019,73 min,"Drama, Romance","This film is about the relationship between a Black man and a Hispanic woman. The two meet at a local concert venue. As a couple falling in love, they want to know as much as they can about each other and there cultures. The film goes in depth about how they try to learn about each other's cultures, while dealing with both of their families' disapprovals of their interracial relationship.",Pelicula,https://filmzie.com/content/my-culture-2019
Birthmarked,English,None,2018,87 min,Comedy,Two scientists raise 3 children contrarily to their genetic tendencies to prove the ultimate power of nurture over nature.,Pelicula,https://filmzie.com/content/birthmarked-2018
Ubaal,Hindi,"English, Spanish, French, Hindi, Italian, Kannada, Tamil, Telugu, Unknown, Chinese",2021,16 min,Short,"""Ubaal"" short film is also about a boy who is struggling with loneliness in his life and he is waiting for someone who can remove the emptiness of his life.",Pelicula,https://filmzie.com/content/ubaal-2021
Wavy,English,None,2023,63 min,Drama,Two couples' beach day turns sour when a threesome confession sparks a storm of emotions and secrets. Unfortunately for all involved...the secrets become deadly.,Pelicula,https://filmzie.com/content/wavy-2023
Riding the Rails,English,None,2022,9 min,Documentary,Alex has spent many of his adult years seeing the world and how people have pushed the limits of biking. And what he discovered was a brand-new way to ride. To get outside. And to experience nature first-hand.,Pelicula,https://filmzie.com/content/riding-the-rails-2022
