titulo,idioma,subtitulos,ano,duracion_minutos,categorias,sinopsis,tipo,link
Engelbert Humperdinck: Totally Amazing,English,English,2021,77,Music,"Engelbert Humperdinck's concert release: classic hits, new recordings. Lounge standards like ""Spanish Eyes"" and ""Release Me."" Don't miss the unreleased title track.",Pelicula,https://filmzie.com/content/engelbert-humperdinck-totally-amazing-2021
Snowy Mountains,English,English,2023,60,Documentary,"Take a breathtaking flight from Argentina to the Alps and beyond as you soar over snow-capped mountains, through jagged peaks and across still waters with a gentle ambient soundtrack. One hour in length.",Pelicula,https://filmzie.com/content/snowy-mountains-2023
Buried Alive,Spanish,English (embedded),2020,8,"Drama, Short","Lorena is locked in what appears to be a coffin, her feet are tied with a belt and she has little room to move. Fear seizes her, but she manages to calm down and after several struggles cuts loose. Now, in a battle between desperation, fear, anxiety and courage, she fights the box with all her strength, until she defeats it. Lorena is unconfined now, she is in many ways, free.",Pelicula,https://filmzie.com/content/buried-alive-2020
The Torturer,English,English,2020,39,"Thriller, Short","A man is interrogated for information he can't recall, but there's more to the mystery than meets the eye. As the torment he endures get worse, it becomes clear that something else is going on behind the scenes.",Pelicula,https://filmzie.com/content/the-torturer-2020
Bobbi and Sheelagh,English,No contiene subtitulos,2018,11,"Animation, Short","A lesbian meets a mythological creature in this traditionally animated short . Created with thousands of hand painted cells, it examines questions of gender and queer magic. Featuring Canadian actor Nisha Ahuja and Irish actor Mel Bradley. Created with support from the National Film Board and Canada Arts Council.",Pelicula,https://filmzie.com/content/bobbi-and-sheelagh-2018
Blood Country,English,English,2017,89,Western,Blood Country: Gripping true story of murder and injustice in post-Civil War Mississippi. A high-caliber must-see film with compelling cast and Hollywood-level production values.,Pelicula,https://filmzie.com/content/blood-country
17 Days,English,No contiene subtitulos,2022,107,"Drama, Thriller","17 Days: A powerful, riveting film depicting Brianna Murphy and Damien Williams, whose fairytale romance transforms into a heart-wrenching nightmare. Touching hearts, shaking souls to the core.",Pelicula,https://filmzie.com/content/17-days-2022
Tony,French,English,2018,24,"Short, Drama","In 80s France, Tony, a rebellious young Spaniard immigrant, battles for the life he dreams of, amidst an oppressive father and a group of street outcasts he considers family. But the road ahead holds darkness and uncertainty.",Pelicula,https://filmzie.com/content/tony-2018
Abdel SNP,French,English,2020,52,"Comedy, Drama, History, Documentary","Abdel was born in Algeria to a Moroccan family. He is one of the many people whose lives are affected by the closure of the border between the two countries. He constantly explores the past to legitimize his origins. On February 22nd 2019, protests against the Algerian government begin and the situation takes an unexpected turn...",Pelicula,https://filmzie.com/content/abdel-snp-2020
2101,English,"Czech, German, Modern Greek (1453-), English, Spanish, Estonian, French, Croatian, Hungarian, Indonesian, Italian, Lithuanian, Latvian, Polish, Portuguese, Romanian, Russian, Slovak, Turkish, Ukrainian",2014,56,"Action, Adventure, Sci-Fi","In an abandoned facility, three friends find a device revealing the future. To protect it, they must master its power against potential threats.",Pelicula,https://filmzie.com/content/2101-2014
The Right Juice,English,English,2014,92,"Comedy, Drama, Romance, European Production","Join Oliver Fellows, a former banker, in his pursuit of fulfillment on a Portuguese farm. With neighbor Manel, they embark on a humorous quest to save their valley from ruthless exploitation.",Pelicula,https://filmzie.com/content/the-right-juice-2014
Brave Are the Fallen,English,English,2020,52,Documentary,"Heartfelt and inspiring, this award winning documentary chronicles firefighter Captain Tom Wall's life, and his untimely death while battling an inferno that he helped to ultimately put out, saving homes and lives one last time.",Pelicula,https://filmzie.com/content/brave-are-the-fallen-2020
Ogre,English,English,2019,70,Animation,Tiny trolls Cupcake & Leaf seek King's recognition for Trolls Friends Day. Their journey teaches them about friendship & facing threats to save the kingdom!,Pelicula,https://filmzie.com/content/ogre-2019
Mariangula,Spanish,"English, Portuguese",2021,97,"Drama, Horror, Thriller","Mariangula, an obsessed lady, to win she will do everything in her power to reach for glory, but her actions will bring fatal consequences for her and the people around. Mariangula based on the most traditional legend of Ecuador.",Pelicula,https://filmzie.com/content/mariangula-2021
Ten,English,No contiene subtitulos,2014,81,Horror,"In a mysterious mansion, ten women realize they've been lured for murder. Deception reigns as they uncover hidden truths that hold the fate of the world.",Pelicula,https://filmzie.com/content/ten-2014
The Musical Adventures of Afro Banzai,English,"English, Spanish, French, Hindi, Japanese, Ukrainian, Chinese",2021,55,Musical,A group of culturally diverse teens who each receive an invitation to a mystical music school where they take on various challenges to help unlock their hidden musical potential.,Pelicula,https://filmzie.com/content/the-musical-adventures-of-afro-banzai-2021
Affluenza,English,No contiene subtitulos,1997,56,Documentary,Explore the overwhelming materialism engulfing America in this revealing documentary.,Pelicula,https://filmzie.com/content/affluenza
Jimmy's Friends,English,No contiene subtitulos,2024,93,"Action, Crime, Drama","Released from prison, Jimmy Tucker returns to the streets of Oakland to get back his money.",Pelicula,https://filmzie.com/content/jimmys-friends-2024
Karbala Memoirs,Hindi,English (embedded),2020,30,"Documentary, Short","From India, a filmmaker retraces the historic journey to Karbala, capturing the peaceful march honoring Hussain's legacy, juxtaposed with their own poignant childhood memories.",Pelicula,https://filmzie.com/content/karbala-memoirs-2020
Dragon Warriors,English,No contiene subtitulos,2015,113,"Action, Adventure, Comedy","An evil wizard, Lord Tensley, seeks the hand and heart of the beautiful princess, Lady Ennogard. When she refuses, he locks her away and releases a deadly dragon, which he controls, to terrorize the land.",Pelicula,https://filmzie.com/content/dragon-warriors-2015
Vicious Minds Project,English,"English, Spanish, French, Dutch",2016,9,"Horror, Short","Betrayed by his best friend, Michael decides to take revenge by calling the strengths of the darkness",Pelicula,https://filmzie.com/content/vicious-minds-project-2016
BookWars,English,English,2000,77,"Documentary, Comedy, Crime",Explore the raw NYC streets from an insider's perspective - through the eyes of street booksellers. A gripping tale of urban life.,Pelicula,https://filmzie.com/content/bookwars-2000
Prometeo,English,No contiene subtitulos,2012,6,"Short, European Production","Under the night sky, a couple reunites by the pool. The boy plans a heartfelt surprise proposal, but the girl has a surprise of her own, making acceptance anything but simple.",Pelicula,https://filmzie.com/content/prometeo
Body of Night,English,English,2020,73,"Drama, Thriller","Thrilling exploration of online dating's dark side as a woman encounters a mysterious man, embroiling her in perilous tests of skill.",Pelicula,https://filmzie.com/content/body-of-night-2020
Egyptian Secrets at the Monastery,English,English,2021,33,Documentary,"Come along with Curtis Ryan Woodside as he investigates the Egyptian influence, treasures and mysteries that reside in a monastery in Florence.",Pelicula,https://filmzie.com/content/egyptian-secrets-at-the-monastery-2021
Division,English,English,2022,99,Drama,"When a Z-list actress connects with a fan who has opposing political views in pre-election, pandemic-stricken America, will they come together or prove we're too far apart?",Pelicula,https://filmzie.com/content/division-2022
Juca,Portuguese,English (embedded),2019,28,"Sci-Fi, Short","Is Juca coming? On a full moon night, a group of friends must cycle away from the city lights in search of a place dark enough to watch a meteor shower.",Pelicula,https://filmzie.com/content/juca-2019
Love Thy Nature,English,No contiene subtitulos,2014,76,Documentary,"Narrated by Liam Neeson, Love Thy Nature points to how deeply we've lost touch with nature, and takes viewers on a cinematic journey through the beauty and intimacy of our relationship with the natural world. The film shows that a renewed connection with nature is key both to good health and to solving our environmental and climate crises.",Pelicula,https://filmzie.com/content/love-thy-nature-2014-0
Don’t Be a Dick!,English,No contiene subtitulos,2020,9,"Documentary, Short","Similar in structure to an educational viral video, Don't Be a DICK! analyses our perception about penis size variations in the population. From early childhood & sexual education to adulthood & porn culture, our understanding of the naked male body image has been constructed by old-world racist ideas. With shocking facts and sharp humour, Don't Be a DICK! breaks apart everything you thought you knew about Ding-A-Lings.",Pelicula,https://filmzie.com/content/dont-be-a-dick-2020
No Loose Ends,English,No contiene subtitulos,2024,67,Crime,"Lifelong friends Clyde and Judas embarked on a heist that ignited a tale of ambition, loyalty, and betrayal. Judas became ensnared in debts. Desperate for redemption, he embarked on one job, altering their friendship forever.",Pelicula,https://filmzie.com/content/no-loose-ends-2024
Food of Love,English,English,2002,104,"Drama, Music, Romance","Paul, a handsome and talented music student is employed as the page-turner at one of the world famous pianist Kennington's concerts in San Francisco.",Pelicula,https://filmzie.com/content/food-of-love-2002
Metus,Spanish,"English, Portuguese",2018,73,"Horror, Thriller","When a detective investigates the unusual suicide of 2 girls, he ends up caught in the middle of a demonic game, where the only way out is to face his deepest fears.",Pelicula,https://filmzie.com/content/metus-2018
The Bus,English,No contiene subtitulos,2012,60,Documentary,"""The Bus"" is a documentary celebrating the iconic VW Bus, delving into its history, evolution, and cultural impact. Experience its significance in this captivating film.",Pelicula,https://filmzie.com/content/the-bus
7:11 PM,Telugu,English,2023,129,"Action, Sci-Fi, Thriller","The incident that takes place at 7:11 PM changes the fate of a town called Hamsala Deevi and a planet called Proxima-EV12. Ravi travels beyond imagination through time to stop a criminal mastermind, save his loved ones and his beloved town",Pelicula,https://filmzie.com/content/711-pm-2023
Lies of Omission,English,No contiene subtitulos,2017,65,Documentary,"Embrace the uncomfortable truth. Amid a world filled with lies, Lies of Omission offers a documentary glimpse of hope for a better future.",Pelicula,https://filmzie.com/content/lies-of-omission-2017
Shadows on the Wall,English,English,2015,77,"Horror, Sci-Fi, Thriller","Three college students embark on a daring venture to transcend the known universe with their experimental device. Little did they know, their success would come with unforeseen consequences.",Pelicula,https://filmzie.com/content/shadows-on-the-wall-2015
Zen Comedy,English,No contiene subtitulos,2023,63,Comedy,"Experience uproarious comedy with five stand-up stars at Arizona's Reiki Academy, blending laughter and serenity for an unforgettable show.",Pelicula,https://filmzie.com/content/zen-comedy-2023
Blue Bus,English,No contiene subtitulos,2010,93,Comedy,"At 68, August Dupree contemplates life's final act. A surprise arrival of a worn-out blue Volkswagen bus brings unexpected possibilities to his doorstep.",Pelicula,https://filmzie.com/content/blue-bus-2010
The Oyster Shucker,English,English,2022,97,Documentary,"In the world of competitive oyster shucking, Honor Allen is among the planet's best. Following this four-time US Champion over several years, we explore this unique subculture, meeting competitors from around the globe.",Pelicula,https://filmzie.com/content/the-oyster-shucker-2022
First Signal,English,No contiene subtitulos,2021,102,"Drama, History, Sci-Fi",When Air Force Space Command receives a signal from an alien satellite in Earth orbit an emergency meeting with the President reveals a government conspiracy.,Pelicula,https://filmzie.com/content/first-signal-2021
Blinkity Blank,English,No contiene subtitulos,1955,5,"Animation, Short",Experience the captivating collaboration of Maurice Blackburn's experimental jazz and Norman McLaren's whimsical animation in a vivid and mesmerizing optical phantasmagoria.,Pelicula,https://filmzie.com/content/blinkity-blank
Boo,English,English,2005,93,"Adventure, Comedy, Fantasy","On Halloween, college students find themselves trapped in a haunted hospital. Experience the chilling suspense in this spine-tingling tale.",Pelicula,https://filmzie.com/content/boo-2005
The Grump Who Stole Christmas 2,English,English,2021,65,Animation,"It's Christmas time at the North Pole and Santa Claus has hired elves Bingle, Tingle, Jingle, Dorabelle and Cheer of the ELF Detective Agency to remove a spell that has put a shadow on the town of Gnomesville. Woodindra, the woodland witch, has unleashed a spell that will keep the citizens of Gnomesville from remembering that Christmas ever existed. Get on the case with the Elf Detectives.",Pelicula,https://filmzie.com/content/the-grump-who-stole-christmas-2-2021
Pink Blues,French,English (embedded),2020,5,"Short, European Production","Tonight in the garage will be performed Iphis and Iante, inspired by Ovid. Marguerite metamorphoses into a boy as in the play. But no costume really suits her.",Pelicula,https://filmzie.com/content/pink-blues-2020
In High Sea,Spanish,"German, English, Spanish, French, Italian, Portuguese, Romanian",2018,83,"Drama, Thriller, Comedy","A cheating couple ends up stranded on a boat in the open seas, as the wife of the sailor searches for her missing husband, the clock is ticking while he learns how annoying his supermodel girlfriend can be, will they survive? Will she?",Pelicula,https://filmzie.com/content/in-high-sea-2018
Zenith,English,English,2010,92,"Sci-Fi, Thriller","Immerse yourself in a retro-futuristic steam-punk thriller as two men, spanning different eras, delve into a shared conspiracy that challenges their very essence.",Pelicula,https://filmzie.com/content/zenith-2010
Nubes Rojas,Spanish,English (embedded),2016,64,"Western, Drama","Arizona, 1875. Travis Lebeck lays unconscious in the desert. A family rescues him and then he decides to continue his way. Everything changes when an unexpected outlaw gang arrives forcing Travis to vary his plans.",Pelicula,https://filmzie.com/content/nubes-rojas-2016
Poolside,English,"English, Spanish, French, Italian, Portuguese",2021,12,"Mystery, Thriller, Short",POOLSIDE accounts the haunting moments of a 1950's high society woman struggling with keeping her sanity while isolated at her indoor pool.,Pelicula,https://filmzie.com/content/poolside-2021
Eldorado,English,English,2012,80,"Comedy, Horror, Music","The Stranger recites Poe's poem, affecting those heading to the mythical city. A Blues Brothers tribute gig turns chaotic for Stan and Ollie.",Pelicula,https://filmzie.com/content/eldorado-2012
Let Me Buy You a Drink,Italian,"German, English, Italian",2019,97,Comedy,"Christian is a dreamer who cannot find his place in this world; for the past 10 years he's been living in London, a city of a million opportunities, and training to become a professional in martial arts. At 35 years old, nothing he aspired to has become a reality. When he finds himself unemployed, his girlfriend (tired of his endless excuses) kicks him to the curb. Now he will be forced back to his birthplace, Genoa, where he will have to rediscover himself, reinvent himself, and above all else adapt himself to a new reality of friends and family, a reality far different from that which he imagined.",Pelicula,https://filmzie.com/content/let-me-buy-you-a-drink-2019
Formosa Boulevard,English,No contiene subtitulos,2015,75,Comedy,"Formosa Boulevard: Indie film shot in Taiwan, directed by Scott Weatherall. A chance encounter between Otis and Danny on a fateful night unveils their contrasting lives. Join the ride through twisted and unexpected turns.",Pelicula,https://filmzie.com/content/formosa-boulevard-2015
Day Delay,Spanish,"English, Portuguese",2018,60,Drama,Paola is a photography student who lives in the emptiness of her relationship. It will be affected by a 34 days delay on her menstrual period.,Pelicula,https://filmzie.com/content/day-delay-2018
Lemonade,English,English,2018,88,"Drama, European Production","Mara, a Romanian woman, moves to the US with her son and newly-married American husband. Follow her eventful day filled with unexpected encounters and challenges, shedding light on her life as an immigrant.",Pelicula,https://filmzie.com/content/lemonade-2018
Rainfalls,English,English,2020,79,Thriller,"Imperfect preacher Taylor faces temptation but resists, even as the church organist Emily falls in love with him. Intriguing drama unfolds.",Pelicula,https://filmzie.com/content/rainfalls-2020
A Free Bird,English,English,2014,94,Comedy,"In search of freedom and a smoke, JT faces tough times. Unemployed from the steakhouse, broke, and with a broken car. Joining his buddies to steal meat seems like a foolproof plan. What could possibly go wrong?",Pelicula,https://filmzie.com/content/a-free-bird-2014
A Wing and a Prayer,English,English,2015,61,"Documentary, History","Narrated by William Baldwin, the untold true story of WWII aviators who carried out secret, illegal operations in 1948 to prevent a second Holocaust.",Pelicula,https://filmzie.com/content/a-wing-and-a-prayer-2015
Diagnostic,French,English (embedded),2020,11,"Drama, Short, European Production",Max returns to see his doctor a few years after their previous interview.,Pelicula,https://filmzie.com/content/diagnostic-2020
Robot World,English,"English, Spanish",2015,74,"Sci-Fi, Thriller","After crash-landing on an alien planet, a pilot realizes it's infested with predatory machines. Survival becomes a thrilling battle for life.",Pelicula,https://filmzie.com/content/robot-world-2015
Little Big Horn,English,English,1951,85,"Drama, Western","Amidst mounting tension, a Seventh Cavalry patrol embarks on a perilous 250-mile journey to warn General Custer of an imminent Sioux ambush. Experience the gripping historical Western filled with suspense.",Pelicula,https://filmzie.com/content/little-big-horn-1951
Finding Faith,English,English,2013,116,Family,Finding Faith - Sheriff Mike Brown's real cases from Internet Crimes Against Children task force. A brave victim shares her abduction and rescue in a Safe Surfin' PSA.,Pelicula,https://filmzie.com/content/finding-faith-2013
A Few Cubic Meters of Love,Persian,English,2014,90,"Drama, Romance","In Tehran's factory, love blossoms between a young Iranian man and the Afghan worker's daughter. An enchanting cross-cultural romance unfolds.",Pelicula,https://filmzie.com/content/a-few-cubic-meters-of-love-2014
Aquele Casal,Portuguese,English,2019,20,"Short, Drama","After being victim of a violent homophobic attack, a couple tries to overcome the trauma and move on.",Pelicula,https://filmzie.com/content/aquele-casal-2019
Arras: Scotland's Forgotten Battle,English,English,2020,61,"Documentary, War","The WWI Battle of Arras is considered to be one of the greatest in which Scottish soldiers ever fought, but it is sadly lesser known. A combination of battlefield tourism and untold heroics has meant that one of Scotland's finest hours has been largely forgotten.",Pelicula,https://filmzie.com/content/arras-scotlands-forgotten-battle-2020
I Am Desire,French,English (embedded),2019,2,"Drama, Short, European Production","When a social worker comes home, a couple of men embellish their love story to get what they desire most in the world... This movie highlights the desire between two boys before gradually evolving.",Pelicula,https://filmzie.com/content/i-am-desire-2019
The Village on the Loch,English,No contiene subtitulos,2018,63,Documentary,"Discover the captivating story of St Fillans, a Perthshire village nestled on the banks of Loch Earn. Witness its bicentennial celebration and the tale of its evolving fate.",Pelicula,https://filmzie.com/content/the-village-on-the-loch-2018
IRA,Italian,English,2018,83,Drama,"A boy meets a girl. He works at the market while she is a street prostitute. They soon develop a strong complicity that will lead them to do something desperate. In the background, a decaying and desolate metropolis.",Pelicula,https://filmzie.com/content/ira-2018
Hank and Jolene,English,No contiene subtitulos,2021,79,Comedy,"When Hank, a likable recluse, meets a Madagascar hissing cockroach, an unconventional relationship blossoms - A love story 300 million years in the making.",Pelicula,https://filmzie.com/content/hank-and-jolene-2021
Zombiez,English,English,2005,82,Horror,"A woman fleeing the living dead faces a grim fate. With friends slaughtered and no aid, will she survive or succumb to the Zombiez?",Pelicula,https://filmzie.com/content/zombiez-2005
First Man on Mars,English,No contiene subtitulos,2016,74,"Comedy, Horror, Sci-Fi","The countdown to terror has begun. Astronaut Eli Cologne became the first man on Mars, but something went horribly wrong. Infected by an alien organism, he returned to Earth a savage monster with an unquenchable thirst for human flesh.",Pelicula,https://filmzie.com/content/first-man-on-mars-2016
The Adventures of Teddy P. Brains: Journey into the Rainforest,English,English,2007,55,"Animation, Adventure, Family",Embark on a boundless 3D animated adventure! Teddy P. Brains and friends journey through time and space with a magical diploma. Join their imaginative missions in the Amazon Rain Forest.,Pelicula,https://filmzie.com/content/the-adventures-of-teddy-p-brains-journey-into-the-rainforest-2007
A Promise to Astrid,English,English,2019,88,Drama,A remarkable woman named Astrid uses unconventional methods to change the lives of an entire community. Based on the award winning book 'A Promise to Astrid'.,Pelicula,https://filmzie.com/content/a-promise-to-astrid-2019
Wicked Widow,Spanish,"English, Portuguese",2014,88,"Drama, Thriller","The beautiful wife of a powerful drug lord starts a relationship with another man. Tired of the jealousy of her husband, she and her lover plan to murder him.",Pelicula,https://filmzie.com/content/wicked-widow-2014
Dearest Jane,English,English,2015,98,"Drama, Romance","In the isolated Indiana countryside, a troubled girl confronts her fear of change, love, and acceptance. Dearest Jane explores relatable issues with universal appeal, captivating viewers of all backgrounds.",Pelicula,https://filmzie.com/content/dearest-jane
Putrefixion: A Video of Nina Temich,Spanish,English,2022,89,Horror,"After purchasing a 360 camera, Nina starts recording her daily life as a way of developing her skills as a director in hopes of getting accepted into film school. But while dancing and doing drugs, strange things begin to happen.",Pelicula,https://filmzie.com/content/putrefixion-a-video-of-nina-temich-2022
Looking for Mr. Miyagi,English,No contiene subtitulos,2014,77,"Documentary, Biography, Sport","Inspiring documentary proving it's never too late for radical change. Think ""Super-Size Me"" meets Martial Arts. David is having a mid-life crisis. His weight is up, his energy is down. At 46 he takes up karate. His mission: become a Black Belt by age 50.",Pelicula,https://filmzie.com/content/looking-for-mr-miyagi-2014
5 Shells,English,No contiene subtitulos,2012,87,"Drama, Family, Sci-Fi","In a post-apocalyptic wasteland, a young girl safeguards her sister during their search for a new home amidst the aftermath of a financial collapse.",Pelicula,https://filmzie.com/content/5-shells
Life Cycle,English,English,2022,119,"Drama, Sci-Fi","Carl, a computer programmer living in isolated existence in the remains of his grandparents basement, has activated the culmination of the past several years of his life's work: An animatronic head, complete with artificial intelligence.",Pelicula,https://filmzie.com/content/life-cycle-2022
Final 48,English,English,2021,94,Drama,"To receive their inheritance, business magnate Hudson Graham has mandated his surviving family members return to their homestead and spend his final hours together under one roof.",Pelicula,https://filmzie.com/content/final-48-2021
"3 Athletes, 4 Seasons: Slovak Compilation",Slovak,No contiene subtitulos,2018,4,"Sport, Documentary",3 Slovak athletes performing through the 4 seasons of the year.,Pelicula,https://filmzie.com/content/3-athletes-4-seasons-slovak-compilation-2018
Firecracker,English,English,2003,112,"Horror, Crime, Drama, Thriller","Surrealist true crime drama about a real-life murder in small town Kansas. A young man, abused by his brother (Mike Patton) and his mother's religious zeal, befriends a carnival Freak Show's main attraction (Karen Black).",Pelicula,https://filmzie.com/content/firecracker-2003
Of Starlight,English,English,2011,65,"Drama, Fantasy, Sci-Fi","After his wife's tragic murder, Terry takes justice into his own hands as the police fail. Meanwhile, the culprit embarks on a cosmic journey back home.",Pelicula,https://filmzie.com/content/of-starlight-2011
Shadowlands,English,No contiene subtitulos,2018,87,Drama,"Shadowlands is an anthology style series that explores love in three separate stories - a couple renegotiating a relationship, a narcissist grasping to comprehend it, and star-crossed lovers mourning its loss.",Pelicula,https://filmzie.com/content/shadowlands-2018
Shackleton's Captain,English,English,2012,85,"Adventure, History","Experience the extraordinary survival tale of Captain Frank Worsley, who saved all crew members on Shackleton's 1914-1917 expedition. A gripping true story, multi-award-winning.",Pelicula,https://filmzie.com/content/shackletons-captain
Tomorrow Ever After,English,No contiene subtitulos,2016,95,"Comedy, Sci-Fi","When a historian living in the year 2592 time-travels to 2015, she navigates the societal woes that she's read about in history books.",Pelicula,https://filmzie.com/content/tomorrow-ever-after-2016
Window Horses: The Poetic Persian Epiphany of Rosie Ming,Multiple languages,No contiene subtitulos,2016,89,"Animation, Adventure, Drama, Fantasy, Family","A Canadian poet with Chinese and Persian roots embarks on a journey to Iran, where they showcase their talent at a captivating poetry festival.",Pelicula,https://filmzie.com/content/window-horses-the-poetic-persian-epiphany-of-rosie-ming
Essex Heist,English,English,2017,74,"Action, Crime","Jez and his struggling mechanics plot an audacious heist when they learn of a million-pound cash transport, but the target is a dangerous crime boss.",Pelicula,https://filmzie.com/content/essex-heist-2017
Immortal,English,No contiene subtitulos,2019,10,"Drama, Sci-Fi, Short","A brilliant geneticist is on the verge of a breakthrough that could change humanity, but when her experiment is discovered, she will have to make an impossible choice.",Pelicula,https://filmzie.com/content/immortal-2019
Dead Side Manor: Prescription for Fear,English,English,2021,40,"Short, Horror","After Dr. John Bell's unexpected suicide, owners of his home begin to experience strange noises, ghost sightings and discover creepy bloodstains on the floor. Second Sight Paranormal TV is called to investigate the haunted house and find out why Dr. Bell still lingers and what he wants. They soon discover he's not haunting alone.",Pelicula,https://filmzie.com/content/dead-side-manor-prescription-for-fear-2021
What Love Looks Like,English,English,2020,88,"Comedy, Drama, Romance",Experience the intertwining journeys of love in this heartfelt film as five stories unfold. Watch for free and stream online.,Pelicula,https://filmzie.com/content/what-love-looks-like-2020
Anything But Christmas,English,English,2021,91,Comedy,"Just days before Christmas, a Kentucky State Representative proposes a bill to change the holiday's name from Christmas to something more inclusive. It is presented as the Holiday Bill, but if they change the name, what will they call it? No one seems to know, just Anything BUT Christmas. Nick (Santa) sends one of his most trusted elves, Bartholomew Decoris, to Kentucky to hire a legal team to defend Christmas and bring suit against the Commonwealth of Kentucky in order to stop the vote on this bill. The attorney representing Christmas (Beth) is struggling with her own feelings about the holiday. This case forces her to face her past and deal with both her childhood memories of Christmas and the new traditions she must make build with her teenage daughter, shortly after an unwanted divorce.",Pelicula,https://filmzie.com/content/anything-but-christmas-2021
Odd Brodsky,English,English,2014,93,Comedy,"Audrey follows her acting dreams, discovering the true meaning of happiness and connection. Award-winning, quirky comedy with lovable characters.",Pelicula,https://filmzie.com/content/odd-brodsky
The Beautiful Risk,English,English,2013,89,"Drama, Romance","In Montreal, William, a shattered artist, finds unexpected solace and passion with Paulette, forming a profound connection that bares their souls.",Pelicula,https://filmzie.com/content/the-beautiful-risk-2013
Inner Worlds Outer Worlds,English,English,2012,122,"Documentary, History","The vibratory field, known by many names, connects everything. Explore its connection to spirituality and science. A common link between religions, sciences, and our inner and outer worlds.",Pelicula,https://filmzie.com/content/inner-worlds-outer-worlds
All About Toby,English,English,2019,16,"Short, Drama","24-year-old lifelong best friends, Sarah and Addie meet at their regular coffee shop. Addie reveals that she just got a job at record label Stomping Records and events begin to unravel.",Pelicula,https://filmzie.com/content/all-about-toby-2019
Code Name: Dynastud,English,No contiene subtitulos,2018,94,Action,"In the year 2024, homosexuality has been outlawed by an extreme right-wing government. Only one extraordinary man can stop this wave of terror and repression, a superhero for our troubled times.",Pelicula,https://filmzie.com/content/code-name-dynastud-2018
The Champions,English,English,2015,92,"Documentary, News","All odds were stacked against the pit-bulls rescued from quarterback Michael Vick's dogfighting ring. Forced to fight for their lives, they were considered so dangerous many wanted them euthanized. But no one could have predicted how the dogs would change the lives of those who risked everything to save them.",Pelicula,https://filmzie.com/content/the-champions-2015
Rolling Around,French,"English, Spanish",2019,22,"Drama, Short, European Production","On a family holiday in the mountains, Xavier is forced to go hiking with Fred, his big sister's boyfriend, whom he does not seem to like. During this hike, the two boys will get to know each other, until Xavier begins to develop feelings for Fred. Their relationship then oscillates between tension and desire.",Pelicula,https://filmzie.com/content/rolling-around-2019
Blaze Foley: Duct Tape Messiah,English,"German, English, Spanish, Japanese",2011,77,"Documentary, Music, Biography","Texas outlaw music legend who was shot in 1989 while protecting an elderly neighbor. Blaze is an enigma, desperately wanting his music to be heard but rejecting the demands required for commercial success. He's now an authentic Americana music legend.",Pelicula,https://filmzie.com/content/blaze-foley-duct-tape-messiah-2011
The Trolls,English,No contiene subtitulos,2016,93,"Comedy, History, News","Texas start-up breaks crowdfunding records, but faces a patent troll. They fight back using a legal loophole: trolling the trolls. Get ready for a battle like no other.",Pelicula,https://filmzie.com/content/the-trolls
"Where are you going, Habibi?",German,English,2015,75,"Comedy, Drama, Romance","Ibrahim falls in love with Alexander, a blond, blue eyed German criminal and show wrestler who is straight - an impossible friendship that surpasses the both of them.",Pelicula,https://filmzie.com/content/where-are-you-going-habibi-2015-0
Endgame 2050,English,English,2020,92,Documentary,"Humanity has backed itself into an ecological endgame as we approach the year 2050. Featuring Moby and prominent scientists, ENDGAME 2050 lays out the reality that, unless we act urgently now, we are hastening our own destruction.",Pelicula,https://filmzie.com/content/endgame-2050-2020
Summer Snow,English,No contiene subtitulos,2014,89,Drama,"Hallie Benson is a small girl with a big heart. Unfortunately, her creative ways of helping often create a mess. Dan Benson doesn't cook, do hair, or know how to help his three children without his beautiful wife and her unshakable faith.",Pelicula,https://filmzie.com/content/summer-snow-2014
A Christmas Miracle,English,English,2023,21,"Short, Drama","In this feel good short film, Clarence Williams, a recent widower finds himself in a tough situation. After devoting over 15 years to his company, he arrives to work on to discover that he losing his job three weeks before Christmas and is desperate for a solution to fulfill his promise of providing the best Christmas ever to his two daughters (Jennifer and Kendall), in spite of them losing their mother less than a year before.",Pelicula,https://filmzie.com/content/a-christmas-miracle-2023
5 Seconds Man,Ukrainian,English,2020,20,"Documentary, Short","Ukrainian speed climber Danyl Boldyrev had to leave his native city Donetsk, where his relatives and coach stay. He lost a lot, but he want to make his dream come true. He is going to participate in the Olympics.",Pelicula,https://filmzie.com/content/5-seconds-man-2020
Note for Note,English,English,2016,21,"Short, Drama, Romance","Lisa, a 911 dispatcher, hunts for the vanished music next door to reclaim her sleep.",Pelicula,https://filmzie.com/content/note-for-note-2016
The Fastest Motocross Bike in the World,English,English,2021,27,"Documentary, Sport, Short","Two speed junkies build and test what they claim is the fastest motocross bike in the world. Then they set out for the premier, land speed racing event at the Bonneville, Salt Flats; where they overcome environmental, technical, and personal challenges.",Pelicula,https://filmzie.com/content/the-fastest-motocross-bike-in-the-world-2021
When the Day Breaks,English,No contiene subtitulos,1999,9,"Animation, Short, Comedy, Fantasy, Musical, Drama","A rooster's breakfast, a pig's need for milk, and a chance encounter with a lemon transform their lives. Explore the unexpected in this captivating tale.",Pelicula,https://filmzie.com/content/when-the-day-breaks
A Meowy Christmas Vacation,English,English,2020,68,Family,"Transported to the year 2050, Wally confronts a world dominated by lizard aliens. Will he find a way to return home and alter history, averting the invasion?",Pelicula,https://filmzie.com/content/a-meowy-christmas-vacation-2020
